elapsed_s,state,error_code,current_j1_A,current_j2_A,current_j3_A,current_j4_A,current_j5_A,current_j6_A,current_j7_A,delta_current_j1_A,delta_current_j2_A,delta_current_j3_A,delta_current_j4_A,delta_current_j5_A,delta_current_j6_A,delta_current_j7_A,torque_j1_Nm,torque_j2_Nm,torque_j3_Nm,torque_j4_Nm,torque_j5_Nm,torque_j6_Nm,torque_j7_Nm,delta_torque_j1_Nm,delta_torque_j2_Nm,delta_torque_j3_Nm,delta_torque_j4_Nm,delta_torque_j5_Nm,delta_torque_j6_Nm,delta_torque_j7_Nm
0.0003,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0204,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0405,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0606,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0808,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1009,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1210,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1412,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1615,2,0,-0.07500000298023224,-0.5099999904632568,0.019999999552965164,-0.27000001072883606,0.17000000178813934,-0.9200000166893005,0.18000000715255737,-0.02500000223517418,-0.04999998211860657,0.07000000029802322,0.027500003576278687,0.030000001192092896,-0.020000040531158447,0.07000000774860382,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1817,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2020,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2224,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2426,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2628,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2831,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3032,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3233,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3436,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3637,2,0,-0.07999999821186066,-0.5099999904632568,0.029999999329447746,-0.27000001072883606,0.1599999964237213,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.04999998211860657,0.0800000000745058,0.027500003576278687,0.019999995827674866,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3838,2,0,-0.07999999821186066,-0.512499988079071,0.03999999910593033,-0.25999999046325684,0.15000000596046448,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.052499979734420776,0.08999999985098839,0.03750002384185791,0.01000000536441803,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4039,2,0,-0.07999999821186066,-0.512499988079071,0.03999999910593033,-0.25999999046325684,0.15000000596046448,-0.9200000166893005,0.1899999976158142,-0.029999997466802597,-0.052499979734420776,0.08999999985098839,0.03750002384185791,0.01000000536441803,-0.020000040531158447,0.07999999821186066,2.72524751026513e-16,-0.9887283444404602,-0.3754069209098816,-0.5150629281997681,-1.2938213348388672,-4.879094123840332,-0.9008039236068726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
